"PaperID","Latitude","Longitude","Meas_year","Temp_study","Precp_study","MBC_c","MBC_t","Unit","Sources","Comment1","Comment2","Paper","Paper_detail","Tannual_del","Pannual_del"
68,36.13,137.42,2010,NA,NA,0.1189,0.0944,"g/kg","Figure 1",NA,"Xu","68",NA,10.5916666666667,2211.3
68,36.13,137.42,2011,NA,NA,0.104,0.1396,"g/kg","Figure 1",NA,"Xu","68",NA,10.0416666666667,1925.4
68,36.13,137.42,2013,NA,NA,0.1706,0.1522,"g/kg","Figure 1",NA,"Xu","68",NA,10.275,1882.9
68,36.13,137.42,2014,NA,NA,0.125,0.099,"g/kg","Figure 1",NA,"Xu","68",NA,9.825,2141.7
68,36.13,137.42,2015,NA,NA,0.1754,0.1744,"g/kg","Figure 1",NA,"Xu","68",NA,10.6916666666667,1799.9
69,58.44,-93.48,2004,NA,NA,1.999,NA,"g/kg","Figure 2","Wet sedge","Edwards et al 2013","Edwards et al 2013",NA,-4.975,698
69,58.44,-93.48,2005,NA,NA,1.722,NA,"g/kg","Figure 2","Wet sedge","Edwards et al 2013","Edwards et al 2013",NA,-2.70833333333333,922.7
69,58.44,-93.48,2006,NA,NA,1.733,NA,"g/kg","Figure 2","Wet sedge","Edwards et al 2013","Edwards et al 2013",NA,-1.45833333333333,841.9
69,58.44,-93.48,2007,NA,NA,1.4735,NA,"g/kg","Figure 2","Wet sedge","Edwards et al 2013","Edwards et al 2013",NA,-5.075,500.4
69,58.45,-93.53,2004,NA,NA,1.787,NA,"g/kg","Figure 2","Dry sedge","Edwards et al 2013","Edwards et al 2013",NA,-5.63333333333333,674
69,58.45,-93.53,2005,NA,NA,1.3195,NA,"g/kg","Figure 2","Dry sedge","Edwards et al 2013","Edwards et al 2013",NA,-3.3,907.7
69,58.45,-93.53,2006,NA,NA,1.1895,NA,"g/kg","Figure 2","Dry sedge","Edwards et al 2013","Edwards et al 2013",NA,-1.86666666666667,826.3
69,58.45,-93.53,2007,NA,NA,1.091,NA,"g/kg","Figure 2","Dry sedge","Edwards et al 2013","Edwards et al 2013",NA,-5.5,485.4
70,50.1183,7.309,1986,NA,NA,0.514,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,7.60833333333333,642.2
70,50.1183,7.309,1987,NA,NA,0.391,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,7.2,730.6
70,50.1183,7.309,1988,NA,NA,0.431,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,8.50833333333333,696.2
70,50.1183,7.309,1989,NA,NA,0.487,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,9.01666666666667,637.9
70,50.1183,7.309,1990,NA,NA,0.402,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,9.025,689.5
70,50.1183,7.309,1991,NA,NA,0.432,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,7.88333333333333,557.4
70,50.1183,7.309,1992,NA,NA,0.451,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,8.69166666666667,696.6
70,50.1183,7.309,1993,NA,NA,0.41,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,8.20833333333333,735.1
70,50.1183,7.309,1994,NA,NA,0.375,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,9.325,630.7
70,50.1183,7.309,1995,NA,NA,0.444,NA,"g/kg","Figure 1","CFS",NA,"Emmerling et al 2001",NA,8.6,607
70,50.1183,7.309,1986,NA,NA,0.491,NA,"g/kg","Figure 1","IFS",NA,"Emmerling et al 2001",NA,7.60833333333333,642.2
70,50.1183,7.309,1987,NA,NA,0.424,NA,"g/kg","Figure 1","IFS",NA,"Emmerling et al 2001",NA,7.2,730.6
70,50.1183,7.309,1988,NA,NA,0.386,NA,"g/kg","Figure 1","IFS",NA,"Emmerling et al 2001",NA,8.50833333333333,696.2
70,50.1183,7.309,1989,NA,NA,0.475,NA,"g/kg","Figure 1","IFS",NA,"Emmerling et al 2001",NA,9.01666666666667,637.9
70,50.1183,7.309,1990,NA,NA,0.455,NA,"g/kg","Figure 1","IFS",NA,"Emmerling et al 2001",NA,9.025,689.5
