scenario,slope,slope_se,slope_p,folder,run_number,outslope
fixed_no_var,-0.037847958,0.054593388,0.496113079,F:/patoine/derived/resampe500_combine_all/resample1_pred_all_vars/resample1_all_1992.rds,1,-6.471267493
fixed_no_var,-0.079104307,0.058802456,0.19359878,F:/patoine/derived/resampe500_combine_all/resample10_pred_all_vars/resample10_all_1992.rds,10,-3.307082424
fixed_no_var,-0.098833068,0.043204103,0.033189707,F:/patoine/derived/resampe500_combine_all/resample100_pred_all_vars/resample100_all_1992.rds,100,-2.772498331
fixed_no_var,-0.039691158,0.024731263,0.124191313,F:/patoine/derived/resampe500_combine_all/resample11_pred_all_vars/resample11_all_1992.rds,11,-3.045032103
fixed_no_var,-0.093567785,0.073575555,0.2180612,F:/patoine/derived/resampe500_combine_all/resample12_pred_all_vars/resample12_all_1992.rds,12,-5.078122189
fixed_no_var,-0.115811767,0.058897268,0.063293584,F:/patoine/derived/resampe500_combine_all/resample13_pred_all_vars/resample13_all_1992.rds,13,-3.395216086
fixed_no_var,-0.175283624,0.093725116,0.076166864,F:/patoine/derived/resampe500_combine_all/resample14_pred_all_vars/resample14_all_1992.rds,14,-6.439517842
fixed_no_var,-0.14742989,0.052553775,0.010927842,F:/patoine/derived/resampe500_combine_all/resample15_pred_all_vars/resample15_all_1992.rds,15,-3.318456386
fixed_no_var,-0.016106585,0.081728844,0.845759038,F:/patoine/derived/resampe500_combine_all/resample16_pred_all_vars/resample16_all_1992.rds,16,-6.477782139
fixed_no_var,-0.123253206,0.074324859,0.112858379,F:/patoine/derived/resampe500_combine_all/resample17_pred_all_vars/resample17_all_1992.rds,17,-3.995194763
fixed_no_var,-0.101462995,0.057143262,0.091020177,F:/patoine/derived/resampe500_combine_all/resample18_pred_all_vars/resample18_all_1992.rds,18,-5.324616747
fixed_no_var,-0.07887358,0.046222431,0.103416357,F:/patoine/derived/resampe500_combine_all/resample19_pred_all_vars/resample19_all_1992.rds,19,-3.37035478
fixed_no_var,-0.062327783,0.052509781,0.249145561,F:/patoine/derived/resampe500_combine_all/resample2_pred_all_vars/resample2_all_1992.rds,2,-5.778675671
fixed_no_var,-0.089154987,0.089897794,0.333173488,F:/patoine/derived/resampe500_combine_all/resample20_pred_all_vars/resample20_all_1992.rds,20,-5.787933838
fixed_no_var,-0.016078171,0.051214633,0.756819863,F:/patoine/derived/resampe500_combine_all/resample21_pred_all_vars/resample21_all_1992.rds,21,-3.216222289
fixed_no_var,-0.13814205,0.05534387,0.021412531,F:/patoine/derived/resampe500_combine_all/resample22_pred_all_vars/resample22_all_1992.rds,22,-2.98293062
fixed_no_var,-0.063572899,0.057631486,0.283083447,F:/patoine/derived/resampe500_combine_all/resample23_pred_all_vars/resample23_all_1992.rds,23,-5.979661883
fixed_no_var,-0.078656807,0.053139344,0.154401472,F:/patoine/derived/resampe500_combine_all/resample24_pred_all_vars/resample24_all_1992.rds,24,-4.969940601
fixed_no_var,-0.087540556,0.048532463,0.086355369,F:/patoine/derived/resampe500_combine_all/resample25_pred_all_vars/resample25_all_1992.rds,25,-4.65967825
fixed_no_var,-0.090368827,0.041228355,0.040388489,F:/patoine/derived/resampe500_combine_all/resample26_pred_all_vars/resample26_all_1992.rds,26,-4.852715658
fixed_no_var,-0.070467917,0.068033651,0.312666786,F:/patoine/derived/resampe500_combine_all/resample27_pred_all_vars/resample27_all_1992.rds,27,-5.455424233
fixed_no_var,-0.067449741,0.059508407,0.270430458,F:/patoine/derived/resampe500_combine_all/resample28_pred_all_vars/resample28_all_1992.rds,28,-5.722159569
fixed_no_var,-0.096357349,0.035990284,0.014478281,F:/patoine/derived/resampe500_combine_all/resample29_pred_all_vars/resample29_all_1992.rds,29,-3.326282779
fixed_no_var,-0.127445621,0.070017012,0.083726793,F:/patoine/derived/resampe500_combine_all/resample3_pred_all_vars/resample3_all_1992.rds,3,-5.651707251
fixed_no_var,-0.071975188,0.067721002,0.300529173,F:/patoine/derived/resampe500_combine_all/resample30_pred_all_vars/resample30_all_1992.rds,30,-5.144656257
fixed_no_var,-0.126072812,0.074569236,0.106424086,F:/patoine/derived/resampe500_combine_all/resample31_pred_all_vars/resample31_all_1992.rds,31,-5.631414143
fixed_no_var,-0.157690865,0.051275204,0.005968667,F:/patoine/derived/resampe500_combine_all/resample32_pred_all_vars/resample32_all_1992.rds,32,-4.211449567
fixed_no_var,-0.068915027,0.062986084,0.286900443,F:/patoine/derived/resampe500_combine_all/resample33_pred_all_vars/resample33_all_1992.rds,33,-5.166473966
fixed_no_var,-0.158520583,0.074095646,0.044919398,F:/patoine/derived/resampe500_combine_all/resample34_pred_all_vars/resample34_all_1992.rds,34,-7.212983652
fixed_no_var,-0.074769931,0.060207048,0.228647582,F:/patoine/derived/resampe500_combine_all/resample35_pred_all_vars/resample35_all_1992.rds,35,-6.163187921
fixed_no_var,-0.135396169,0.088333266,0.140994775,F:/patoine/derived/resampe500_combine_all/resample36_pred_all_vars/resample36_all_1992.rds,36,-6.209404744
fixed_no_var,-0.117287091,0.063668599,0.080330937,F:/patoine/derived/resampe500_combine_all/resample37_pred_all_vars/resample37_all_1992.rds,37,-5.636670323
fixed_no_var,-0.106156848,0.065947285,0.12312962,F:/patoine/derived/resampe500_combine_all/resample38_pred_all_vars/resample38_all_1992.rds,38,-6.255121725
fixed_no_var,-0.098458855,0.037286699,0.015684067,F:/patoine/derived/resampe500_combine_all/resample39_pred_all_vars/resample39_all_1992.rds,39,-2.931217433
fixed_no_var,-0.115242211,0.080950887,0.169974734,F:/patoine/derived/resampe500_combine_all/resample4_pred_all_vars/resample4_all_1992.rds,4,-4.718840256
fixed_no_var,-0.096238936,0.049915191,0.068168774,F:/patoine/derived/resampe500_combine_all/resample40_pred_all_vars/resample40_all_1992.rds,40,-4.288303035
fixed_no_var,-0.154560592,0.060057954,0.018134665,F:/patoine/derived/resampe500_combine_all/resample41_pred_all_vars/resample41_all_1992.rds,41,-2.770936543
fixed_no_var,-0.134594675,0.070630015,0.071175276,F:/patoine/derived/resampe500_combine_all/resample42_pred_all_vars/resample42_all_1992.rds,42,-4.361037935
fixed_no_var,-0.048571064,0.071267063,0.503348712,F:/patoine/derived/resampe500_combine_all/resample43_pred_all_vars/resample43_all_1992.rds,43,-5.841325878
fixed_no_var,-0.061189081,0.033579003,0.083406957,F:/patoine/derived/resampe500_combine_all/resample44_pred_all_vars/resample44_all_1992.rds,44,-4.137521591
fixed_no_var,-0.073376638,0.057793467,0.218789431,F:/patoine/derived/resampe500_combine_all/resample45_pred_all_vars/resample45_all_1992.rds,45,-6.186339104
