scenario,slope,slope_se,slope_p,folder,run_number,outslope
fixed_no_var,-0.06412349,0.036477595,0.094062748,F:/patoine/derived/resampe500_combine_fjoin/resample1_pred_all_vars/resample1_all_1992.rds,1,-6.471267493
fixed_no_var,-0.082759248,0.068924137,0.243884698,F:/patoine/derived/resampe500_combine_fjoin/resample10_pred_all_vars/resample10_all_1992.rds,10,-3.307082424
fixed_no_var,-0.099853106,0.029880894,0.003249616,F:/patoine/derived/resampe500_combine_fjoin/resample100_pred_all_vars/resample100_all_1992.rds,100,-2.772498331
fixed_no_var,-0.040780612,0.020569852,0.061324853,F:/patoine/derived/resampe500_combine_fjoin/resample11_pred_all_vars/resample11_all_1992.rds,11,-3.045032103
fixed_no_var,-0.105401253,0.075028719,0.175418861,F:/patoine/derived/resampe500_combine_fjoin/resample12_pred_all_vars/resample12_all_1992.rds,12,-5.078122189
fixed_no_var,-0.111512935,0.049195724,0.034650899,F:/patoine/derived/resampe500_combine_fjoin/resample13_pred_all_vars/resample13_all_1992.rds,13,-3.395216086
fixed_no_var,-0.221859025,0.120448253,0.080362097,F:/patoine/derived/resampe500_combine_fjoin/resample14_pred_all_vars/resample14_all_1992.rds,14,-6.439517842
fixed_no_var,-0.173577802,0.054869752,0.004886897,F:/patoine/derived/resampe500_combine_fjoin/resample15_pred_all_vars/resample15_all_1992.rds,15,-3.318456386
fixed_no_var,-0.025311832,0.035254678,0.481078636,F:/patoine/derived/resampe500_combine_fjoin/resample16_pred_all_vars/resample16_all_1992.rds,16,-6.477782139
fixed_no_var,-0.154868331,0.051814345,0.007254706,F:/patoine/derived/resampe500_combine_fjoin/resample17_pred_all_vars/resample17_all_1992.rds,17,-3.995194763
fixed_no_var,-0.154883991,0.02936928,3.68E-05,F:/patoine/derived/resampe500_combine_fjoin/resample18_pred_all_vars/resample18_all_1992.rds,18,-5.324616747
fixed_no_var,-0.129758817,0.03616684,0.001839803,F:/patoine/derived/resampe500_combine_fjoin/resample19_pred_all_vars/resample19_all_1992.rds,19,-3.37035478
