scenario,slope,slope_se,slope_p,folder,run_number,outslope
fixed_no_var,-0.131963557,0.085376702,0.13786346,F:/patoine/derived/resampe500_patoine_all/resample1_pred_all_vars/resample1_all_1992.rds,1,-3.443333953
fixed_no_var,-0.079315641,0.037427264,0.046783101,F:/patoine/derived/resampe500_patoine_all/resample10_pred_all_vars/resample10_all_1992.rds,10,-3.42533744
fixed_no_var,-0.096365331,0.04647176,0.051243624,F:/patoine/derived/resampe500_patoine_all/resample100_pred_all_vars/resample100_all_1992.rds,100,-2.953465066
fixed_no_var,-0.044425843,0.028776657,0.138309141,F:/patoine/derived/resampe500_patoine_all/resample11_pred_all_vars/resample11_all_1992.rds,11,-1.830067294
fixed_no_var,-0.12272888,0.050371733,0.024304357,F:/patoine/derived/resampe500_patoine_all/resample12_pred_all_vars/resample12_all_1992.rds,12,-2.751574296
fixed_no_var,-0.047456758,0.026742065,0.09118619,F:/patoine/derived/resampe500_patoine_all/resample13_pred_all_vars/resample13_all_1992.rds,13,-2.257511151
fixed_no_var,-0.175950559,0.088241964,0.059971462,F:/patoine/derived/resampe500_patoine_all/resample14_pred_all_vars/resample14_all_1992.rds,14,-3.749139266
fixed_no_var,-0.130361768,0.065818776,0.061555921,F:/patoine/derived/resampe500_patoine_all/resample15_pred_all_vars/resample15_all_1992.rds,15,-2.274420338
fixed_no_var,-0.05930333,0.028705134,0.05203252,F:/patoine/derived/resampe500_patoine_all/resample16_pred_all_vars/resample16_all_1992.rds,16,-2.048198735
fixed_no_var,-0.115829647,0.040296212,0.009372963,F:/patoine/derived/resampe500_patoine_all/resample17_pred_all_vars/resample17_all_1992.rds,17,-2.331733444
fixed_no_var,-0.021457797,0.017533945,0.235255251,F:/patoine/derived/resampe500_patoine_all/resample18_pred_all_vars/resample18_all_1992.rds,18,-1.827542324
fixed_no_var,-0.145058801,0.060912387,0.027293659,F:/patoine/derived/resampe500_patoine_all/resample19_pred_all_vars/resample19_all_1992.rds,19,-2.416572271
fixed_no_var,-0.233052603,0.105095153,0.038331685,F:/patoine/derived/resampe500_patoine_all/resample2_pred_all_vars/resample2_all_1992.rds,2,-4.357630569
fixed_no_var,-0.137817532,0.069576391,0.061532834,F:/patoine/derived/resampe500_patoine_all/resample20_pred_all_vars/resample20_all_1992.rds,20,-3.124995751
fixed_no_var,-0.187545102,0.092686408,0.056597984,F:/patoine/derived/resampe500_patoine_all/resample21_pred_all_vars/resample21_all_1992.rds,21,-3.327254625
fixed_no_var,-0.132956932,0.04885694,0.013148306,F:/patoine/derived/resampe500_patoine_all/resample22_pred_all_vars/resample22_all_1992.rds,22,-4.625307798
fixed_no_var,-0.070744875,0.030128807,0.029267981,F:/patoine/derived/resampe500_patoine_all/resample23_pred_all_vars/resample23_all_1992.rds,23,-1.855372829
fixed_no_var,-0.054367996,0.023998175,0.034737756,F:/patoine/derived/resampe500_patoine_all/resample24_pred_all_vars/resample24_all_1992.rds,24,-1.871672324
fixed_no_var,-0.032338333,0.03577748,0.376821186,F:/patoine/derived/resampe500_patoine_all/resample25_pred_all_vars/resample25_all_1992.rds,25,-1.786007822
