scenario,slope,slope_se,slope_p,folder,run_number,outslope
fixed_no_var,-0.199292471,0.113542866,0.094529014,F:/patoine/derived/resampe500_patoine_fjoin/resample1_pred_all_vars/resample1_all_1992.rds,1,-3.443333953
fixed_no_var,-0.090895538,0.042243203,0.043817061,F:/patoine/derived/resampe500_patoine_fjoin/resample10_pred_all_vars/resample10_all_1992.rds,10,-3.42533744
fixed_no_var,-0.150154478,0.062830257,0.026815716,F:/patoine/derived/resampe500_patoine_fjoin/resample100_pred_all_vars/resample100_all_1992.rds,100,-2.953465066
fixed_no_var,-0.078789284,0.033947589,0.030973217,F:/patoine/derived/resampe500_patoine_fjoin/resample11_pred_all_vars/resample11_all_1992.rds,11,-1.830067294
fixed_no_var,-0.191629258,0.07258306,0.015699473,F:/patoine/derived/resampe500_patoine_fjoin/resample12_pred_all_vars/resample12_all_1992.rds,12,-2.751574296
fixed_no_var,-0.09451341,0.030043625,0.005086376,F:/patoine/derived/resampe500_patoine_fjoin/resample13_pred_all_vars/resample13_all_1992.rds,13,-2.257511151
fixed_no_var,-0.248070565,0.124601206,0.06032926,F:/patoine/derived/resampe500_patoine_fjoin/resample14_pred_all_vars/resample14_all_1992.rds,14,-3.749139266
fixed_no_var,-0.157661199,0.085501295,0.080055786,F:/patoine/derived/resampe500_patoine_fjoin/resample15_pred_all_vars/resample15_all_1992.rds,15,-2.274420338
fixed_no_var,-0.113126367,0.040596696,0.011389636,F:/patoine/derived/resampe500_patoine_fjoin/resample16_pred_all_vars/resample16_all_1992.rds,16,-2.048198735
fixed_no_var,-0.169786139,0.047327137,0.001841015,F:/patoine/derived/resampe500_patoine_fjoin/resample17_pred_all_vars/resample17_all_1992.rds,17,-2.331733444
fixed_no_var,-0.023008279,0.014553891,0.129586485,F:/patoine/derived/resampe500_patoine_fjoin/resample18_pred_all_vars/resample18_all_1992.rds,18,-1.827542324
fixed_no_var,-0.201563553,0.086029603,0.029582828,F:/patoine/derived/resampe500_patoine_fjoin/resample19_pred_all_vars/resample19_all_1992.rds,19,-2.416572271
fixed_no_var,-0.339390528,0.155796863,0.041511289,F:/patoine/derived/resampe500_patoine_fjoin/resample2_pred_all_vars/resample2_all_1992.rds,2,-4.357630569
fixed_no_var,-0.190517916,0.091260758,0.049834881,F:/patoine/derived/resampe500_patoine_fjoin/resample20_pred_all_vars/resample20_all_1992.rds,20,-3.124995751
fixed_no_var,-0.294670118,0.145941247,0.057083242,F:/patoine/derived/resampe500_patoine_fjoin/resample21_pred_all_vars/resample21_all_1992.rds,21,-3.327254625
fixed_no_var,-0.162098718,0.066703296,0.024631365,F:/patoine/derived/resampe500_patoine_fjoin/resample22_pred_all_vars/resample22_all_1992.rds,22,-4.625307798
fixed_no_var,-0.131773891,0.038442397,0.002664652,F:/patoine/derived/resampe500_patoine_fjoin/resample23_pred_all_vars/resample23_all_1992.rds,23,-1.855372829
fixed_no_var,-0.065603573,0.02221959,0.0078726,F:/patoine/derived/resampe500_patoine_fjoin/resample24_pred_all_vars/resample24_all_1992.rds,24,-1.871672324
fixed_no_var,-0.043088641,0.032562141,0.200673677,F:/patoine/derived/resampe500_patoine_fjoin/resample25_pred_all_vars/resample25_all_1992.rds,25,-1.786007822
fixed_no_var,-0.275932869,0.095406205,0.00900968,F:/patoine/derived/resampe500_patoine_fjoin/resample26_pred_all_vars/resample26_all_1992.rds,26,-2.886011875
fixed_no_var,-0.230514295,0.088235492,0.016670131,F:/patoine/derived/resampe500_patoine_fjoin/resample27_pred_all_vars/resample27_all_1992.rds,27,-2.576453353
fixed_no_var,-0.031331377,0.017105846,0.08194567,F:/patoine/derived/resampe500_patoine_fjoin/resample28_pred_all_vars/resample28_all_1992.rds,28,-1.582815741
fixed_no_var,-0.244496823,0.106880358,0.033190417,F:/patoine/derived/resampe500_patoine_fjoin/resample29_pred_all_vars/resample29_all_1992.rds,29,-3.943395319
fixed_no_var,-0.412541933,0.187152701,0.039381348,F:/patoine/derived/resampe500_patoine_fjoin/resample3_pred_all_vars/resample3_all_1992.rds,3,-4.901876508
fixed_no_var,-0.210615771,0.042861133,8.38E-05,F:/patoine/derived/resampe500_patoine_fjoin/resample30_pred_all_vars/resample30_all_1992.rds,30,-3.412244738
fixed_no_var,-0.165198947,0.066829717,0.02254213,F:/patoine/derived/resampe500_patoine_fjoin/resample31_pred_all_vars/resample31_all_1992.rds,31,-3.350199963
fixed_no_var,-0.15418354,0.044975558,0.002662588,F:/patoine/derived/resampe500_patoine_fjoin/resample32_pred_all_vars/resample32_all_1992.rds,32,-3.034585508
fixed_no_var,-0.28107057,0.137423281,0.054208001,F:/patoine/derived/resampe500_patoine_fjoin/resample33_pred_all_vars/resample33_all_1992.rds,33,-3.657170428
fixed_no_var,-0.199570276,0.091063173,0.040417345,F:/patoine/derived/resampe500_patoine_fjoin/resample34_pred_all_vars/resample34_all_1992.rds,34,-3.09795514
fixed_no_var,-0.191295884,0.091245244,0.048958776,F:/patoine/derived/resampe500_patoine_fjoin/resample35_pred_all_vars/resample35_all_1992.rds,35,-2.127756461
fixed_no_var,-0.27874649,0.147234439,0.072889974,F:/patoine/derived/resampe500_patoine_fjoin/resample36_pred_all_vars/resample36_all_1992.rds,36,-4.361912855
fixed_no_var,-0.215803177,0.121554642,0.091059226,F:/patoine/derived/resampe500_patoine_fjoin/resample37_pred_all_vars/resample37_all_1992.rds,37,-4.023769094
fixed_no_var,-0.303504791,0.124184524,0.023920447,F:/patoine/derived/resampe500_patoine_fjoin/resample38_pred_all_vars/resample38_all_1992.rds,38,-4.013864156
fixed_no_var,-0.327483852,0.127168063,0.018069055,F:/patoine/derived/resampe500_patoine_fjoin/resample39_pred_all_vars/resample39_all_1992.rds,39,-3.485478726
fixed_no_var,-0.25242814,0.093311779,0.013621694,F:/patoine/derived/resampe500_patoine_fjoin/resample4_pred_all_vars/resample4_all_1992.rds,4,-3.147168816
fixed_no_var,-0.120669959,0.037147163,0.004025089,F:/patoine/derived/resampe500_patoine_fjoin/resample40_pred_all_vars/resample40_all_1992.rds,40,-2.598665386
fixed_no_var,-0.119128912,0.034358664,0.002432845,F:/patoine/derived/resampe500_patoine_fjoin/resample41_pred_all_vars/resample41_all_1992.rds,41,-2.189564818
fixed_no_var,-0.252746492,0.159100465,0.127835498,F:/patoine/derived/resampe500_patoine_fjoin/resample42_pred_all_vars/resample42_all_1992.rds,42,-2.338306947
fixed_no_var,-0.410787024,0.246779693,0.111583929,F:/patoine/derived/resampe500_patoine_fjoin/resample43_pred_all_vars/resample43_all_1992.rds,43,-3.351468639
fixed_no_var,-0.267030382,0.148532985,0.087326106,F:/patoine/derived/resampe500_patoine_fjoin/resample44_pred_all_vars/resample44_all_1992.rds,44,-3.584916389
fixed_no_var,-0.191950669,0.077860781,0.022862239,F:/patoine/derived/resampe500_patoine_fjoin/resample45_pred_all_vars/resample45_all_1992.rds,45,-2.810829128
fixed_no_var,-0.186831252,0.069544485,0.014190777,F:/patoine/derived/resampe500_patoine_fjoin/resample46_pred_all_vars/resample46_all_1992.rds,46,-2.184129405
fixed_no_var,-0.176286959,0.078846766,0.036923821,F:/patoine/derived/resampe500_patoine_fjoin/resample47_pred_all_vars/resample47_all_1992.rds,47,-2.892604019
fixed_no_var,-0.28295612,0.126747464,0.037180324,F:/patoine/derived/resampe500_patoine_fjoin/resample48_pred_all_vars/resample48_all_1992.rds,48,-2.902062736
fixed_no_var,-0.218855266,0.082094535,0.014843552,F:/patoine/derived/resampe500_patoine_fjoin/resample49_pred_all_vars/resample49_all_1992.rds,49,-2.717609404
