RCT,Paper,Experiment_ID,Publication,Country,Region,Site,Latitude,Longitude,NDVI_paper,GCC,GC,MAT,MAP,Biomes,Species,Sand_paper,Silt_paper,Clay_paper,BD,Magnitude_W,Magnitude_Other,Magnitude_O_Note,Start_yr,Duration,Mid_yr,SWC,SWC_matric,pH,SOC_paper,TN,CN,TP,MBN,MBN_unit,MBC,MBC_unit,Convertor,Cmic,Data_source,Comments,Collecter,Checker,tmean,phh2o,soc,prec,land_cover,clay,sand,nitrogen,elev,ndvi
1,1,C4_W,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C,W,11.6,560,Grassland,Australian native grassland (C4),NA,NA,NA,1.8,2,,,2004,5,2007,NA,,NA,3.26,0.24,13.84,NA,NA,,0.6779,g/kg,83.33333333,56.49166667,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,326,417.1,G,299.25,545.54,240,28,0.218684226
2,1,C3_W,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C,W,11.6,560,Grassland,Australian native grassland (C3),NA,NA,NA,1.8,2,,,2004,5,2007,NA,,NA,2.51,0.18,13.72,NA,NA,,0.5691,g/kg,83.33333333,47.425,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,251,417.1,G,299.25,545.54,180,28,0.218684226
3,1,C4_W_eCO2,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C_eCO2,W_eCO2,11.6,560,Grassland,Australian native grassland (C4),NA,NA,NA,1.8,2,150 ppm,CO2,2004,5,2007,NA,,NA,3.16,0.22,14.28,NA,NA,,0.4036,g/kg,83.33333333,33.63333333,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,316,417.1,G,299.25,545.54,220,28,0.218684226
4,1,C3_W_eCO2,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C_eCO2,W_eCO2,11.6,560,Grassland,Australian native grassland (C3),NA,NA,NA,1.8,2,150 ppm,CO2,2004,5,2007,NA,,NA,3.23,0.22,14.62,NA,NA,,0.4242,g/kg,83.33333333,35.35,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,323,417.1,G,299.25,545.54,220,28,0.218684226
5,1,C4_W_sub,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C,W,11.6,560,Grassland,Australian native grassland (C4),NA,NA,NA,1.8,2,,,2004,5,2007,NA,,NA,2.73,0.2,13.71,NA,NA,,0.4567,g/kg,83.33333333,38.05833333,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,273,417.1,G,299.25,545.54,200,28,0.218684226
6,1,C3_W_sub,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C,W,11.6,560,Grassland,Australian native grassland (C3),NA,NA,NA,1.8,2,,,2004,5,2007,NA,,NA,1.88,0.14,13.48,NA,NA,,0.272,g/kg,83.33333333,22.66666667,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,188,417.1,G,299.25,545.54,140,28,0.218684226
7,1,C4_W_eCO2_sub,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C_eCO2,W_eCO2,11.6,560,Grassland,Australian native grassland (C4),NA,NA,NA,1.8,2,150 ppm,CO2,2004,5,2007,NA,,NA,2.46,0.17,14.46,NA,NA,,0.2613,g/kg,83.33333333,21.775,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,246,417.1,G,299.25,545.54,170,28,0.218684226
8,1,C3_W_eCO2_sub,"Hayden et al., 2012; Hovenden et al., 2017; Pendall et al., 2011",Australia,Tasmania,"TasFACE, Pontville",-42.7,147.27,NA,C_eCO2,W_eCO2,11.6,560,Grassland,Australian native grassland (C3),NA,NA,NA,1.8,2,150 ppm,CO2,2004,5,2007,NA,,NA,2.37,0.16,14.58,NA,NA,,0.2363,g/kg,83.33333333,19.69166667,Table 1 of Hayden_2012_EnvMicro,3 replicates reported at Hovenden (2017),JJ,XR,2827.9,63.33,237,417.1,G,299.25,545.54,160,28,0.218684226
9,4,W_eCO2,"Liu et al., 2014, 2017; Chen et al., 2016",China,Jiangsu,Changshu,31.5,120.55,NA,C_eCO2,W_eCO2,16,1150,Agriculture,Rice-wheat rotation,NA,NA,NA,1.2,2,100 ppm,CO2,2010,3,2012,NA,,7.47,1.65474,0.18,9.23,NA,NA,,0.68,g/kg,83.33333333,56.66666667,Table 1 of Liu_2014_SBB,Averaged from 3 stage,JJ,XR,2887.75,74.7,165.474,1045.1,C,324.97,200.77,180,7,0.185492307
10,4,W,"Liu et al., 2014, 2017; Chen et al., 2017",China,Jiangsu,Changshu,31.5,120.55,NA,C,W,16,1150,Agriculture,Rice-wheat rotation,NA,NA,NA,1.2,2,,,2010,3,2012,NA,,7.62,1.34502,0.146,9.2,NA,NA,,0.363333333,g/kg,83.33333333,30.27777775,Table 1 of Liu_2014_SBB,Averaged from 3 stage,JJ,XR,2887.75,76.2,134.502,1045.1,C,324.97,200.77,146,7,0.185492307
11,7,Abisko_depth1,"Deslippe et al., 2012; Sistla et al., 2013; Sistla & Schimel, 2013; Schmidt et al., 2002",Sweden,Abisko Scienti?c Research Station,Abisko,68.33,20.85,NA,C,W,-0.7,299,Tundra,Arctic tundra,NA,NA,NA,NA,2.1,,,1989,18,1998,NA,,7.1,NA,NA,7.533333333,NA,NA,,7.566666667,g/kg,83.33333333,630.5555556,Table 3 of Schmidt_2002_PlantSoil,Low altitude,JJ,XR,2698.583333,71,1380.28,536.1,S,74.48,568.91,611.06,450,0.170094311
12,7,Abisko_depth2,"Deslippe et al., 2012; Sistla et al., 2013; Sistla & Schimel, 2013; Schmidt et al., 2002",Sweden,Abisko Scienti?c Research Station,Abisko,68.33,20.85,NA,C,W,-4.8,299,Tundra,Arctic tundra,NA,NA,NA,NA,2.1,,,1989,18,1998,NA,,5.2,NA,NA,7.533333333,NA,NA,,8.966666667,g/kg,83.33333333,747.2222223,Table 3 of Schmidt_2002_PlantSoil,High altitude,JJ,XR,2698.583333,52,1380.28,536.1,S,74.48,568.91,611.06,1150,0.170094311
13,7,TL_depth1,"Deslippe et al., 2012; Sistla et al., 2013; Sistla & Schimel, 2013; Schmidt et al., 2002",USA,Alaska,Toolik Lake,68.63,-149.57,NA,C,W,-8.5,347,Tundra,Arctic tundra,NA,NA,NA,0.12,2.1,,,1989,18,1998,NA,,4.6,58.90625,2.022222222,8.566666667,0.216666667,NA,,16.93333333,g/kg,83.33333333,1411.111111,Table 3 of Schmidt_2002_PlantSoil,Low altitude,JJ,XR,2640,46,5890.625,152.8,S,214.54,378.33,2022.222222,780,0.170094311
14,7,TL_depth2,"Deslippe et al., 2012; Sistla et al., 2013; Sistla & Schimel, 2013; Schmidt et al., 2002",USA,Alaska,Toolik Lake,68.63,-149.57,NA,C,W,-8.5,347,Tundra,Arctic tundra,46,26,28,0.6,2.1,,,1989,18,1998,NA,,6,4.202287582,0.214705882,12.7,0.007156863,NA,,4.433333333,g/kg,83.33333333,369.4444444,Table 3 of Schmidt_2002_PlantSoil,High altitude,JJ,XR,2640,60,420.2287582,152.8,S,280,460,214.705882,730,0.170094311
15,11,,"Allison et al., 2010; Treseder et al., 2016; Allison & Treseder, 2008",USA,Alaska,Delta Junction,63.92,-145.73,NA,C,W,-2,303,Forest,Boreal forest,NA,NA,NA,NA,1.2,,,2006,3,2008,60.43,GVC,NA,NA,NA,NA,NA,26.7,ug/g,0.349,g/kg,83.33333333,29.08333333,Table 1 of Allison_2010_SBB,,JJ,XR,2684.666667,53.94,1388.88,259.4,FC,80.63,353.78,587.73,445,0.174660474
16,14-15,W_Pr_remove,"Li et al., 2017,2018",South Korea,Seoul,Korea University,37.59,127.03,NA,C_Pr_remove,W_Pr_remove,12.5,1450.5,Forest,Pinus densiflora seedlings,80,6,14,NA,3,-30,Precipitation%,2010,3,2012,6.7,VWC,6.6,0.19,0.01,15.5,NA,0.0158,g/kg,0.483,g/kg,83.33333333,40.25,Table 3 of Li_2018_SBB,Reduced precipitation (P-),JJ,XR,2823,66,19,1458.8,FC,140,800,10,71,0.185492307
17,14-15,W,"Li et al., 2017,2018",South Korea,Seoul,Korea University,37.59,127.03,NA,C,W,12.5,1450.5,Forest,Pinus densiflora seedlings,80,6,14,NA,3,,,2010,3,2012,7.4,VWC,6.6,0.19,0.01,16.8,NA,0.0165,g/kg,0.484,g/kg,83.33333333,40.33333333,Table 3 of Li_2018_SBB,No Precipitation change (P0),JJ,XR,2823,66,19,1458.8,FC,140,800,10,71,0.185492307
18,14-15,W_Pr_add,"Li et al., 2017,2018",South Korea,Seoul,Korea University,37.59,127.03,NA,C_Pr_add,W_Pr_add,12.5,1450.5,Forest,Pinus densiflora seedlings,80,6,14,NA,3,30,Precipitation%,2010,3,2012,7.4,VWC,6.4,0.2,0.01,16,NA,0.0135,g/kg,0.512,g/kg,83.33333333,42.66666667,Table 3 of Li_2018_SBB,Precipitation added (P+),JJ,XR,2823,64,20,1458.8,FC,140,800,10,71,0.185492307
19,16,,"Gao, 2016",China,Fujian,Sanming,26.32,117.6,NA,C,W,19.1,1749,Forest,Chinese Fir,NA,NA,NA,NA,5,,,2015,1,2016,NA,,NA,NA,NA,NA,NA,20.454,mg/kg,0.160472578,g/kg,83.33333333,13.37271483,Figure 3.1,,JJ,XR,2891.083333,53.1,250.38,2563.2,FT,312.4,377.66,186.49,300,0.199286684
20,16,,"Gao, 2016",China,Fujian,Sanming,26.32,117.6,NA,C_N,W_N,19.1,1749,Forest,Chinese Fir,NA,NA,NA,NA,5,80 kg/ha/yr,N,2015,1,2016,NA,,NA,NA,NA,NA,NA,19.618,mg/kg,0.1773164,g/kg,83.33333333,14.77636667,Figure 3.1,,JJ,XR,2891.083333,53.1,250.38,2563.2,FT,312.4,377.66,186.49,300,0.199286684
21,17,W," Liu et al., 2017 ",China,Fujian,Sanming,26.33,117.61,NA,C,W,19.1,1750,Forest,Chinese Fir,NA,NA,NA,NA,5,,,2014,1,2015,22.7,VWC,4.7,1.42,0.14,10.5,NA,NA,,0.163,g/kg,83.33333333,13.58333333,Table 3,,JJ,XR,2889.583333,47,142,2143.8,FT,304.07,374.74,140,260,0.199286684
